City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Policarpo,PH,12.1791,125.5072,83.14,74,89,3.83,overcast clouds
80,Vaini,TO,-21.2,-175.2,71.76,100,90,5.75,light rain
81,Ponta Do Sol,PT,32.6667,-17.1,66.83,78,12,5.39,few clouds
82,Codrington,AU,-38.2667,141.9667,65.46,47,100,25.41,overcast clouds
83,Namibe,AO,-15.1961,12.1522,75.06,42,2,9.06,clear sky
84,East London,ZA,-33.0153,27.9116,63.54,36,0,8.05,clear sky
85,Hecun,CN,36.5333,114.1111,90.09,21,100,7.27,light rain
86,Sokolka,PL,53.4072,23.5023,58.48,81,72,6.08,broken clouds
87,Kuminskiy,RU,58.6667,66.5667,66.69,62,68,4.76,broken clouds
88,Kochi,IN,9.9399,76.2602,85.98,75,13,1.81,few clouds
89,Kota Belud,MY,6.351,116.4305,91.26,63,99,5.86,overcast clouds
90,Yulara,AU,-25.2406,130.9889,69.64,26,56,6.91,broken clouds
91,Kyra,RU,49.5776,111.9753,78.06,28,100,17.54,overcast clouds
92,Kyren,RU,51.6828,102.1408,56.46,48,93,1.52,overcast clouds
93,Szczytno,PL,53.5626,20.9875,51.73,100,0,2.3,clear sky
94,Port Blair,IN,11.6667,92.75,82.44,89,75,5.75,broken clouds
95,Dikson,RU,73.5069,80.5464,30.06,94,100,13.02,light snow
96,Jocotepec,MX,20.3,-103.4333,69.15,63,76,3.36,broken clouds
97,Leningradskiy,RU,69.3833,178.4167,43.95,65,9,17.09,clear sky
98,Georgetown,MY,5.4112,100.3354,87.89,71,20,4.61,few clouds
99,Kaseda,JP,31.4167,130.3167,81.63,66,100,2.64,overcast clouds
100,Linhares,BR,-19.3911,-40.0722,67.17,94,100,2.08,light rain
101,Torbay,CA,47.6666,-52.7314,39.27,92,90,9.22,overcast clouds
102,Hithadhoo,MV,-0.6,73.0833,83.34,72,24,12.24,few clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,71.78,87,20,6.71,few clouds
104,Cayenne,GF,4.9333,-52.3333,79.09,87,90,1.01,overcast clouds
105,Derzhavinsk,KZ,51.1,66.3167,70.12,28,99,12.62,overcast clouds
106,Magadan,RU,59.5667,150.8,49.93,75,63,8.25,broken clouds
107,Hasaki,JP,35.7333,140.8333,79.09,79,100,2.04,overcast clouds
108,Matara,LK,5.9485,80.5353,83.68,75,96,11.52,overcast clouds
109,Muborak,UZ,39.2553,65.1528,96.26,17,0,16.6,clear sky
110,Mahebourg,MU,-20.4081,57.7,76.24,78,75,9.22,light rain
111,Abu Dhabi,AE,24.4667,54.3667,91.51,62,0,11.05,clear sky
112,Jiuquan,CN,39.7432,98.5174,71.01,14,75,7.05,broken clouds
113,La Rochelle,FR,46.1667,-1.15,55.51,94,96,6.91,overcast clouds
114,Tautira,PF,-17.7333,-149.15,80.62,70,5,8.01,clear sky
115,Wanning,CN,18.8003,110.3967,89.47,63,30,7.76,scattered clouds
116,Zhigansk,RU,66.7697,123.3711,45.99,85,100,19.91,moderate rain
117,Brae,GB,60.3964,-1.353,42.71,78,97,2.19,overcast clouds
118,Novokayakent,RU,42.3937,47.9861,66.25,78,92,9.17,overcast clouds
119,Belokurikha,RU,51.9959,84.9896,69.28,49,0,7.38,clear sky
120,Lagoa,PT,39.05,-27.9833,63.57,90,100,13.15,overcast clouds
121,Provideniya,RU,64.3833,-173.3,44.71,61,75,4.47,broken clouds
122,Hit,IQ,33.6416,42.8251,83.37,19,0,12.48,clear sky
123,Svobodnyy,RU,51.4,128.1333,78.12,32,20,8.99,few clouds
124,Melnik,CZ,50.3505,14.4741,61.77,79,96,2.51,overcast clouds
125,Fare,PF,-16.7,-151.0167,80.87,77,39,9.66,light rain
126,Rongcheng,CN,30.634,117.8517,90.27,36,100,0.56,overcast clouds
127,Solnechnyy,RU,50.7214,136.6319,69.22,54,46,3.31,scattered clouds
128,Broome,US,42.2506,-75.833,72.54,78,53,2.98,broken clouds
129,Kununurra,AU,-15.7667,128.7333,87.78,20,10,4.61,clear sky
130,Dangriga,BZ,16.9692,-88.2321,82.98,84,39,12.46,scattered clouds
131,Meulaboh,ID,4.1363,96.1285,83.07,66,100,6.73,overcast clouds
132,Cape Town,ZA,-33.9258,18.4232,66.61,37,0,10.0,clear sky
133,Hobart,AU,-42.8794,147.3294,64.26,48,75,7.0,broken clouds
134,Sumter,US,28.7086,-82.0831,80.11,92,100,8.05,heavy intensity rain
135,Abnub,EG,27.2696,31.1511,68.22,49,95,10.38,overcast clouds
136,Cherskiy,RU,68.75,161.3,71.29,33,87,20.36,overcast clouds
137,Moses Lake,US,47.1301,-119.2781,56.61,45,47,5.17,scattered clouds
138,Marawi,PH,7.9986,124.2928,81.75,58,57,3.44,broken clouds
